K,date,tickers,weight method 1,weight method 2
11,2000-04-06,BK,0.1015539189962486,0.0275729691570445
11,2000-04-06,CSCO,0.3159758860705021,0.29188212009628156
11,2000-04-06,DD,0.12852451277030022,0.1714232271710787
11,2000-04-06,HD,0.06122125514868628,4.126604690626694e-06
11,2000-04-06,MRK,0.05866346153727847,0.06131986372891545
11,2000-04-06,MS,0.16457297609503105,0.1713594704922667
11,2000-04-06,PEP,0.032602069578624555,0.00014010174557497123
11,2000-04-06,SO,0.053032148569843625,0.023153957517074997
11,2000-04-06,T,0.036903496170909336,0.06607085207911507
11,2000-04-06,WBA,0.01834842050128541,0.09502945670327897
11,2000-04-06,XOM,0.028601854561290458,0.0920438547047302
11,2000-07-06,AMGN,0.04677236529347136,0.12760597631278994
11,2000-07-06,C,0.1841779893879693,0.19430029840617874
11,2000-07-06,CL,0.0384312042060529,0.027645723807912845
11,2000-07-06,DD,0.03636153461200405,0.049405879687728464
11,2000-07-06,DUK,0.041046139095864236,0.1067345023614825
11,2000-07-06,HD,0.043691936210906356,6.089815244127218e-10
11,2000-07-06,JNJ,0.06781970315636458,0.03242815446630848
11,2000-07-06,ORCL,0.48207788166061755,0.30676178013454125
11,2000-07-06,VZ,0.021008394436342122,0.10134042420765375
11,2000-07-06,WBA,0.011513355098210781,0.02795686448882774
11,2000-07-06,XOM,0.02709949684219681,0.02582039551760141
11,2000-10-06,AMGN,0.050152636716503905,0.008056391399975464
11,2000-10-06,CAT,0.0345184430911824,0.03715520216515231
11,2000-10-06,CSCO,0.4092973056468064,0.3399963076430937
11,2000-10-06,DUK,0.024650712993242337,0.12738673582633286
11,2000-10-06,FDX,0.031567072829399696,0.17138128924385806
11,2000-10-06,HD,0.07941092483271543,0.0218623687388638
11,2000-10-06,KO,0.05635250975358299,0.03820284743160903
11,2000-10-06,MS,0.11032459665741405,0.1105309988621239
11,2000-10-06,PFE,0.0691516158507425,0.041130346380578615
11,2000-10-06,USB,0.10816223623817262,0.007373978499266697
11,2000-10-06,XOM,0.026411945390237654,0.09692353380915955
11,2001-01-05,BMY,0.07720896306079052,0.056711152662766946
11,2001-01-05,C,0.14120551478784452,0.33221407980192413
11,2001-01-05,CL,0.04373572151475583,0.0020232437733163806
11,2001-01-05,CVX,0.025409969804546476,3.344290912795549e-06
11,2001-01-05,DD,0.011436189680322617,0.017922667151004743
11,2001-01-05,DUK,0.019279456775496754,0.03510891275404204
11,2001-01-05,EMR,0.04942242603728477,0.12725027424932372
11,2001-01-05,LOW,0.05282994987959862,0.14497099910191313
11,2001-01-05,NVDA,0.528652105651403,0.133275568236236
11,2001-01-05,PEP,0.02888780013166366,0.06522576994600088
11,2001-01-05,VZ,0.021931902676293212,0.08529398803256222
11,2001-04-06,BMY,0.06678808126625876,1.2968583707877065e-07
11,2001-04-06,C,0.13237780143456226,0.15905107593090967
11,2001-04-06,CAT,0.02600191929745044,0.17215194937001146
11,2001-04-06,CL,0.0657217160718564,5.901036046973237e-08
11,2001-04-06,CSCO,0.4237387304882958,0.012905592828072266
11,2001-04-06,HON,0.13344289653290944,0.5127405157890789
11,2001-04-06,NEE,0.0334920173368788,6.644811532838203e-08
11,2001-04-06,NKE,0.002980709889889543,9.584137288819509e-08
11,2001-04-06,T,0.02363249359462385,4.214338068934877e-06
11,2001-04-06,WBA,0.025952024508049863,0.0005192830093789639
11,2001-04-06,WMT,0.06587160957922492,0.14262701774877495
11,2001-07-06,CL,0.013519668130570817,0.07031208723873522
11,2001-07-06,CVX,0.05016612396668381,0.027230661853339406
11,2001-07-06,DD,0.03250163520856656,0.07015617593445272
11,2001-07-06,EMR,0.12624155153385058,0.014689749767456864
11,2001-07-06,EXC,0.01359907128681,0.00015345629495841766
11,2001-07-06,JNJ,0.07079567439403309,0.19020856384167636
11,2001-07-06,MS,0.21436882768545226,0.18911029483276678
11,2001-07-06,QCOM,0.3378603929350156,0.18286969654788213
11,2001-07-06,SPG,0.0015217092347155586,0.06307233179684595
11,2001-07-06,VZ,0.05959424870627277,0.10055779959777092
11,2001-07-06,WMT,0.0798310969180291,0.09163918229412055
11,2001-10-05,ABT,0.06986288275658102,0.00436719206743759
11,2001-10-05,BKNG,0.01701616241086108,0.026412354976237395
11,2001-10-05,BMY,0.1003852504380535,0.04648313824710185
11,2001-10-05,C,0.1904443877991348,0.15103681093317775
11,2001-10-05,CVX,0.03352708841696921,0.06355129875044443
11,2001-10-05,DUK,0.016942812255832267,0.026143715097333788
11,2001-10-05,HD,0.12916449099020572,0.1261026538125358
11,2001-10-05,INTC,0.3462436971052034,0.2503902691732154
11,2001-10-05,LMT,0.007717764699132498,0.14589390496416138
11,2001-10-05,RTX,0.042634232424792654,0.04324679226486117
11,2001-10-05,VZ,0.04606123070323388,0.1163718697135006
11,2002-01-07,ABT,0.1162111298002206,0.000496969342712227
11,2002-01-07,BLK,0.00012335303805470274,0.009883688019417256
11,2002-01-07,C,0.19242312850932444,0.12574396442236427
11,2002-01-07,MMM,0.11728453507550055,0.26483826722867165
11,2002-01-07,NEE,0.013353971941931853,0.09417034202314388
11,2002-01-07,PG,0.0277206818210302,0.08227365323979209
11,2002-01-07,T,0.043233749584935074,1.2191950999772738e-06
11,2002-01-07,TGT,0.07826289196378626,0.1135078320631645
11,2002-01-07,TXN,0.3252146669243791,0.14140268104745954
11,2002-01-07,UPS,0.04490368126822171,0.16768073841555645
11,2002-01-07,XOM,0.041268210072615184,6.450026136573287e-07
11,2002-04-05,BAC,0.04388575269542918,0.19203001793458074
11,2002-04-05,BIIB,0.143095617786724,0.02037517262510511
11,2002-04-05,BRK-B,0.0011426392000247858,2.610557223905888e-05
11,2002-04-05,FDX,0.012781137608068833,0.10580043240251971
11,2002-04-05,INTC,0.3610454334584159,0.2251390301964086
11,2002-04-05,LIN,0.08798560099200645,0.019060285494660087
11,2002-04-05,MS,0.18395056253236708,0.08429783996730858
11,2002-04-05,NEE,0.017014425077371737,0.12420830787311796
11,2002-04-05,PG,0.04855347248649447,0.15361343819703357
11,2002-04-05,TGT,0.0694011175131259,0.07537480651782016
11,2002-04-05,VZ,0.031144240649971858,7.4563219206097e-05
11,2002-07-05,C,0.2249486296958278,0.14435272792944365
11,2002-07-05,COF,0.04866700020641899,0.10285357664681533
11,2002-07-05,GILD,0.06813242270883273,0.07686148850727972
11,2002-07-05,HON,0.036952447064157665,0.015699155271179013
11,2002-07-05,JNJ,0.055558985771610586,0.16178173355739942
11,2002-07-05,MO,0.029389784517862175,0.04815988737761077
11,2002-07-05,MSFT,0.40486050073827345,0.29793766161969193
11,2002-07-05,PG,0.04043460874709453,0.057535679122218075
11,2002-07-05,SO,0.014957964268610045,0.06748525953663832
11,2002-07-05,USB,0.042223281919979816,0.010094763670388326
11,2002-07-05,XOM,0.03387437436133241,0.017238066761429718
11,2002-10-07,AIG,0.12663050878034396,0.10385971319397896
11,2002-10-07,AMT,0.000253512564041185,3.837342612085157e-08
11,2002-10-07,AXP,0.2366127030920868,3.0027960934513563e-06
11,2002-10-07,BA,0.06099324020589624,1.184825504588888e-07
11,2002-10-07,BKNG,0.00027236017717348067,8.720494657987678e-08
11,2002-10-07,INTC,0.2807526383956553,0.28280204866501885
11,2002-10-07,LOW,0.048277094939812505,0.0967918116622044
11,2002-10-07,MDLZ,0.02262694905628324,5.167441679778295e-07
11,2002-10-07,NEE,0.015028490068459343,0.0675490519829948
11,2002-10-07,PG,0.06072913956064615,0.3987484734788465
11,2002-10-07,XOM,0.1478233631596019,0.05024513741577138
11,2003-01-06,CAT,0.12947913560628607,0.1302872509805638
11,2003-01-06,CL,0.03696313900084837,0.052092910428111476
11,2003-01-06,COP,0.08536593380910824,0.1034251580632872
11,2003-01-06,GD,0.020488057484584384,0.08719915461724334
11,2003-01-06,LOW,0.0729461070707028,0.03097808475568329
11,2003-01-06,MDLZ,0.022479060460950474,0.06586888572905494
11,2003-01-06,MRK,0.03818499356699304,0.010387756516911319
11,2003-01-06,MS,0.524316849276965,0.2989694409483101
11,2003-01-06,NEE,0.01713108604982687,0.04642618933823484
11,2003-01-06,T,0.025205325347305733,0.11575261868476062
11,2003-01-06,WBA,0.02744031232642912,0.05861254993788008
11,2003-04-07,BKNG,0.00015136644624374888,0.0136252960242989
11,2003-04-07,BRK-B,0.0015816636105865807,0.02856568539151472
11,2003-04-07,COF,0.01751443239163225,0.046267563241761886
11,2003-04-07,IBM,0.3243705695802301,0.3481559903319821
11,2003-04-07,LMT,0.008286088844090546,5.417754019184078e-08
11,2003-04-07,MO,0.02546355952974401,1.1890061263940647e-08
11,2003-04-07,MS,0.33111892326864506,0.13519433084762214
11,2003-04-07,SBUX,0.004746654191764854,0.07877235988011846
11,2003-04-07,UPS,0.1026478299305476,0.009528704622947175
11,2003-04-07,WMT,0.1157498257294989,0.19918310577370912
11,2003-04-07,XOM,0.06836908647701631,0.14070689781845752
11,2003-07-07,AMT,0.00053051381623865,0.01876209761755763
11,2003-07-07,BKNG,0.000508351216955589,0.008884679163988718
11,2003-07-07,BLK,0.00017126181835430806,0.04166360853190703
11,2003-07-07,C,0.28302570327321946,0.15674418198344364
11,2003-07-07,HON,0.07436017540890907,0.1118932727710244
11,2003-07-07,INTC,0.26881204664430997,0.17272893124027186
11,2003-07-07,LIN,0.09665379685868276,0.02138735287493186
11,2003-07-07,MO,0.023926912809393092,0.057267531649349654
11,2003-07-07,SO,0.014631591052360145,0.11503524202664334
11,2003-07-07,TGT,0.04573997864542395,0.11001744885589021
