,,weight
2006-04-07,CAT,0.10906626930656123
2006-04-07,CL,0.020210297787173186
2006-04-07,CVX,0.03237680163244959
2006-04-07,GE,0.0567929740861998
2006-04-07,GOOGL,0.12329091928584307
2006-04-07,KO,0.10842922581401912
2006-04-07,LOW,0.068338590759817
2006-04-07,QCOM,0.285335574964367
2006-04-07,SO,0.06589013260981881
2006-04-07,USB,0.13026921375375117
2006-07-07,BIIB,0.1293696741092311
2006-07-07,CVX,0.05447985274391415
2006-07-07,GOOGL,0.13730544706780187
2006-07-07,GS,0.18087054868278346
2006-07-07,JPM,0.1280257386877137
2006-07-07,KO,0.0889730988082626
2006-07-07,LIN,0.08903228911677281
2006-07-07,RTX,0.04517597155562401
2006-07-07,SO,0.033041394887119956
2006-07-07,UPS,0.11372598434077621
2006-10-06,GOOG,0.1306931086900744
2006-10-06,IBM,0.1727043412731591
2006-10-06,JPM,0.14313029149167142
2006-10-06,MS,0.21454886888218255
2006-10-06,NVDA,0.12777023009577793
2006-10-06,SO,0.05754449318689337
2006-10-06,T,0.04054509390246843
2006-10-06,UPS,0.018119213203637446
2006-10-06,WBA,0.031519358312607486
2006-10-06,XOM,0.06342500096152816
2007-01-08,AMZN,0.06458414324625152
2007-01-08,CVX,0.07464875640568575
2007-01-08,FDX,0.03877756093966697
2007-01-08,GOOG,0.23663955102893328
2007-01-08,HD,0.04367553361281634
2007-01-08,HON,0.09059015102523077
2007-01-08,INTC,0.10954389153286001
2007-01-08,JNJ,0.085269238421653
2007-01-08,MS,0.229216079567761
2007-01-08,SO,0.02705509421914148
2007-04-05,EMR,0.10040896991994872
2007-04-05,GOOGL,0.1741485838196098
2007-04-05,INTC,0.09567555962215533
2007-04-05,MDLZ,0.005753943003543953
2007-04-05,MS,0.20058665492995167
2007-04-05,RTX,0.03508840408957344
2007-04-05,SO,0.04488549316223574
2007-04-05,TGT,0.10420290626534712
2007-04-05,WFC,0.169465447957838
2007-04-05,XOM,0.06978403722979626
2007-07-06,AAPL,0.0702394929426346
2007-07-06,AXP,0.06699048984322402
2007-07-06,EMR,0.03683784815231703
2007-07-06,GOOG,0.10954005469322779
2007-07-06,HON,0.058443276712036175
2007-07-06,JNJ,0.07171617295115261
2007-07-06,LOW,0.05130954370603148
2007-07-06,ORCL,0.22118579339834604
2007-07-06,SO,0.15910428003695581
2007-07-06,WFC,0.1546330475640743
2007-10-08,ACN,0.002353425478565236
2007-10-08,C,0.28370769094423864
2007-10-08,CSCO,0.05470153597200111
2007-10-08,CVS,0.01447383324257585
2007-10-08,EMR,0.1579988282644531
2007-10-08,GE,0.21123814200691363
2007-10-08,GOOG,0.08933994794458769
2007-10-08,NFLX,0.0005545510389475917
2007-10-08,SO,0.039602951868283796
2007-10-08,XOM,0.14602909323943336
2008-01-07,BAC,0.19621745796872822
2008-01-07,BIIB,0.004967625509784725
2008-01-07,CVS,0.013667328954092898
2008-01-07,CVX,0.09836259597306492
2008-01-07,DUK,0.04983796548855288
2008-01-07,GOOGL,0.24125518858231598
2008-01-07,LIN,0.07316581254465654
2008-01-07,MET,0.09117892451826522
2008-01-07,ORCL,0.13905083714653843
2008-01-07,SPG,0.09229626331400016
2008-04-07,BAC,0.3011515248156277
2008-04-07,BRK-B,0.001404286219874229
2008-04-07,DD,0.1074758303534433
2008-04-07,GOOG,0.22150344289476684
2008-04-07,KO,0.04149381438879508
2008-04-07,MRK,0.026167517884025923
2008-04-07,SO,0.038314313691646514
2008-04-07,UNH,0.006509147644775383
2008-04-07,VZ,0.05281966062845141
2008-04-07,XOM,0.20316046147859368
2008-07-07,CSCO,0.23899367461921378
2008-07-07,CVX,0.07115056285358144
2008-07-07,GD,0.07886026764783062
2008-07-07,GOOGL,0.11684001035128783
2008-07-07,MS,0.18970319110570627
2008-07-07,NEE,0.04414887769358232
2008-07-07,PEP,0.029940147106899923
2008-07-07,TGT,0.18077981655075642
2008-07-07,TMUS,0.014493742210918722
2008-07-07,V,0.03508970986022268
2008-10-07,ADBE,0.11466230504710942
