K,date,tickers,weight
11,2000-04-06,BK,0.0275729691570445
11,2000-04-06,CSCO,0.29188212009628156
11,2000-04-06,DD,0.1714232271710787
11,2000-04-06,HD,4.126604690626694e-06
11,2000-04-06,MRK,0.06131986372891545
11,2000-04-06,MS,0.1713594704922667
11,2000-04-06,PEP,0.00014010174557497123
11,2000-04-06,SO,0.023153957517074997
11,2000-04-06,T,0.06607085207911507
11,2000-04-06,WBA,0.09502945670327897
11,2000-04-06,XOM,0.0920438547047302
11,2000-07-06,AMGN,0.12760597631278994
11,2000-07-06,C,0.19430029840617874
11,2000-07-06,CL,0.027645723807912845
11,2000-07-06,DD,0.049405879687728464
11,2000-07-06,DUK,0.1067345023614825
11,2000-07-06,HD,6.089815244127218e-10
11,2000-07-06,JNJ,0.03242815446630848
11,2000-07-06,ORCL,0.30676178013454125
11,2000-07-06,VZ,0.10134042420765375
11,2000-07-06,WBA,0.02795686448882774
11,2000-07-06,XOM,0.02582039551760141
11,2000-10-06,AMGN,0.008056391399975464
11,2000-10-06,CAT,0.03715520216515231
11,2000-10-06,CSCO,0.3399963076430937
11,2000-10-06,DUK,0.12738673582633286
11,2000-10-06,FDX,0.17138128924385806
11,2000-10-06,HD,0.0218623687388638
11,2000-10-06,KO,0.03820284743160903
11,2000-10-06,MS,0.1105309988621239
11,2000-10-06,PFE,0.041130346380578615
11,2000-10-06,USB,0.007373978499266697
11,2000-10-06,XOM,0.09692353380915955
11,2001-01-05,BMY,0.056711152662766946
11,2001-01-05,C,0.33221407980192413
11,2001-01-05,CL,0.0020232437733163806
11,2001-01-05,CVX,3.344290912795549e-06
11,2001-01-05,DD,0.017922667151004743
11,2001-01-05,DUK,0.03510891275404204
11,2001-01-05,EMR,0.12725027424932372
11,2001-01-05,LOW,0.14497099910191313
11,2001-01-05,NVDA,0.133275568236236
11,2001-01-05,PEP,0.06522576994600088
11,2001-01-05,VZ,0.08529398803256222
11,2001-04-06,BMY,1.2968583707877065e-07
11,2001-04-06,C,0.15905107593090967
11,2001-04-06,CAT,0.17215194937001146
11,2001-04-06,CL,5.901036046973237e-08
11,2001-04-06,CSCO,0.012905592828072266
11,2001-04-06,HON,0.5127405157890789
11,2001-04-06,NEE,6.644811532838203e-08
11,2001-04-06,NKE,9.584137288819509e-08
11,2001-04-06,T,4.214338068934877e-06
11,2001-04-06,WBA,0.0005192830093789639
11,2001-04-06,WMT,0.14262701774877495
11,2001-07-06,CL,0.07031208723873522
11,2001-07-06,CVX,0.027230661853339406
11,2001-07-06,DD,0.07015617593445272
11,2001-07-06,EMR,0.014689749767456864
11,2001-07-06,EXC,0.00015345629495841766
11,2001-07-06,JNJ,0.19020856384167636
11,2001-07-06,MS,0.18911029483276678
11,2001-07-06,QCOM,0.18286969654788213
11,2001-07-06,SPG,0.06307233179684595
11,2001-07-06,VZ,0.10055779959777092
11,2001-07-06,WMT,0.09163918229412055
11,2001-10-05,ABT,0.00436719206743759
11,2001-10-05,BKNG,0.026412354976237395
11,2001-10-05,BMY,0.04648313824710185
11,2001-10-05,C,0.15103681093317775
11,2001-10-05,CVX,0.06355129875044443
11,2001-10-05,DUK,0.026143715097333788
11,2001-10-05,HD,0.1261026538125358
11,2001-10-05,INTC,0.2503902691732154
11,2001-10-05,LMT,0.14589390496416138
11,2001-10-05,RTX,0.04324679226486117
11,2001-10-05,VZ,0.1163718697135006
11,2002-01-07,ABT,0.000496969342712227
11,2002-01-07,BLK,0.009883688019417256
11,2002-01-07,C,0.12574396442236427
11,2002-01-07,MMM,0.26483826722867165
11,2002-01-07,NEE,0.09417034202314388
11,2002-01-07,PG,0.08227365323979209
11,2002-01-07,T,1.2191950999772738e-06
11,2002-01-07,TGT,0.1135078320631645
11,2002-01-07,TXN,0.14140268104745954
11,2002-01-07,UPS,0.16768073841555645
11,2002-01-07,XOM,6.450026136573287e-07
11,2002-04-05,BAC,0.19203001793458074
11,2002-04-05,BIIB,0.02037517262510511
11,2002-04-05,BRK-B,2.610557223905888e-05
11,2002-04-05,FDX,0.10580043240251971
11,2002-04-05,INTC,0.2251390301964086
11,2002-04-05,LIN,0.019060285494660087
11,2002-04-05,MS,0.08429783996730858
11,2002-04-05,NEE,0.12420830787311796
11,2002-04-05,PG,0.15361343819703357
11,2002-04-05,TGT,0.07537480651782016
11,2002-04-05,VZ,7.4563219206097e-05
11,2002-07-05,C,0.14435272792944365
11,2002-07-05,COF,0.10285357664681533
11,2002-07-05,GILD,0.07686148850727972
11,2002-07-05,HON,0.015699155271179013
11,2002-07-05,JNJ,0.16178173355739942
11,2002-07-05,MO,0.04815988737761077
11,2002-07-05,MSFT,0.29793766161969193
11,2002-07-05,PG,0.057535679122218075
11,2002-07-05,SO,0.06748525953663832
11,2002-07-05,USB,0.010094763670388326
11,2002-07-05,XOM,0.017238066761429718
11,2002-10-07,AIG,0.10385971319397896
11,2002-10-07,AMT,3.837342612085157e-08
11,2002-10-07,AXP,3.0027960934513563e-06
11,2002-10-07,BA,1.184825504588888e-07
11,2002-10-07,BKNG,8.720494657987678e-08
11,2002-10-07,INTC,0.28280204866501885
11,2002-10-07,LOW,0.0967918116622044
11,2002-10-07,MDLZ,5.167441679778295e-07
11,2002-10-07,NEE,0.0675490519829948
11,2002-10-07,PG,0.3987484734788465
11,2002-10-07,XOM,0.05024513741577138
11,2003-01-06,CAT,0.1302872509805638
11,2003-01-06,CL,0.052092910428111476
11,2003-01-06,COP,0.1034251580632872
11,2003-01-06,GD,0.08719915461724334
11,2003-01-06,LOW,0.03097808475568329
11,2003-01-06,MDLZ,0.06586888572905494
11,2003-01-06,MRK,0.010387756516911319
11,2003-01-06,MS,0.2989694409483101
11,2003-01-06,NEE,0.04642618933823484
11,2003-01-06,T,0.11575261868476062
11,2003-01-06,WBA,0.05861254993788008
11,2003-04-07,BKNG,0.0136252960242989
11,2003-04-07,BRK-B,0.02856568539151472
11,2003-04-07,COF,0.046267563241761886
11,2003-04-07,IBM,0.3481559903319821
11,2003-04-07,LMT,5.417754019184078e-08
11,2003-04-07,MO,1.1890061263940647e-08
11,2003-04-07,MS,0.13519433084762214
11,2003-04-07,SBUX,0.07877235988011846
11,2003-04-07,UPS,0.009528704622947175
11,2003-04-07,WMT,0.19918310577370912
11,2003-04-07,XOM,0.14070689781845752
11,2003-07-07,AMT,0.01876209761755763
11,2003-07-07,BKNG,0.008884679163988718
11,2003-07-07,BLK,0.04166360853190703
11,2003-07-07,C,0.15674418198344364
11,2003-07-07,HON,0.1118932727710244
11,2003-07-07,INTC,0.17272893124027186
11,2003-07-07,LIN,0.02138735287493186
11,2003-07-07,MO,0.057267531649349654
11,2003-07-07,SO,0.11503524202664334
11,2003-07-07,TGT,0.11001744885589021
11,2003-07-07,WFC,0.18561565328499255
11,2003-10-06,AMZN,0.07533438532055321
11,2003-10-06,C,0.17528810984709642
11,2003-10-06,CSCO,0.13640738238997901
11,2003-10-06,EXC,0.20669263589997633
11,2003-10-06,GE,0.09653419881064727
11,2003-10-06,MDLZ,0.01691589662815643
11,2003-10-06,T,3.6848196264402324e-08
11,2003-10-06,TXN,0.09959784546165619
11,2003-10-06,UNH,0.03721697009713651
11,2003-10-06,UNP,0.04843840692288135
11,2003-10-06,WMT,0.1075741317737211
11,2004-01-06,DD,0.0724176834052988
11,2004-01-06,EMR,0.2014885426310161
11,2004-01-06,EXC,1.47552010426583e-07
11,2004-01-06,GD,0.11798072450360624
11,2004-01-06,HD,0.02777251091955156
11,2004-01-06,MS,0.04981550908004286
11,2004-01-06,PFE,0.17920088581556787
11,2004-01-06,TXN,0.13005484187195684
11,2004-01-06,UNH,0.04440220704219006
11,2004-01-06,VZ,0.1170221753460999
11,2004-01-06,XOM,0.05984477183265908
11,2004-04-06,AIG,0.28920194852688663
